"logFC" "logCPM" "F" "PValue" "FDR"
"RibesNigrum.54241" -4.39541189921627 -0.237436603726916 48.876159410682 1.08613175658393e-05 0.0901999829788137
"RibesNigrum.10502" -3.24059125747443 5.53998951606156 48.9048673535599 1.1154816885458e-05 0.0901999829788137
"RibesNigrum.37604" -5.00437310460293 2.07726964489564 45.6599226450517 1.57909627802937e-05 0.0901999829788137
"RibesNigrum.13473" -5.04819308549379 2.47152228328207 44.8051728643232 1.73620248493326e-05 0.0901999829788137
"RibesNigrum.10507" -4.28064885346676 5.88921713363672 43.279766266843 2.06393391575172e-05 0.0901999829788137
"RibesNigrum.39733" -4.93243756339623 6.78578790251549 40.0957112698409 3.0092009588355e-05 0.0901999829788137
"RibesNigrum.22068" -2.97601110889852 4.49636083702306 39.1279824981811 3.39029556010518e-05 0.0901999829788137
"RibesNigrum.45308" -2.97383558621646 4.49316985323153 38.9446463515429 3.46864986678446e-05 0.0901999829788137
"RibesNigrum.31820" -3.78217628484757 1.09077003290027 38.722501601353 3.56642028058701e-05 0.0901999829788137
"RibesNigrum.34457" -4.894554067242 1.79618884189157 38.500509448862 3.66733018909673e-05 0.0901999829788137
"RibesNigrum.11364" -4.70688233919495 5.43599901549431 38.4176169451925 3.70585642781184e-05 0.0901999829788137
"RibesNigrum.36326" -2.58929594882951 5.17867779871874 36.7845984960208 4.5696152429638e-05 0.0901999829788137
"RibesNigrum.12438" -6.31220602509842 4.18959166405612 36.121408190316 4.98561980367106e-05 0.0901999829788137
"RibesNigrum.49351" -3.65784180662848 1.7287821481115 35.2008239447177 5.63810277640456e-05 0.0901999829788137
"RibesNigrum.10499" -4.18346887573679 5.95923437492341 34.9741196775285 5.81365627786209e-05 0.0901999829788137
"RibesNigrum.13989" -1.48978901878951 5.22513053338426 34.7152231723199 5.8880228534947e-05 0.0901999829788137
"RibesNigrum.17598" -1.48598200072768 5.22536642243559 34.6305681521931 5.95672348838262e-05 0.0901999829788137
"RibesNigrum.56631" -2.8410191291235 5.10904515366543 34.6878452471836 6.04447420845349e-05 0.0901999829788137
"RibesNigrum.39117" -3.86361714215183 2.37348578923939 34.5592052944684 6.15164413251843e-05 0.0901999829788137
"RibesNigrum.13468" -4.96033423559637 3.61864599516304 33.8789213230014 6.75639780693814e-05 0.0901999829788137
"RibesNigrum.34459" -5.95638802486601 -0.140451704780684 33.6064178019539 7.01779854256772e-05 0.0901999829788137
"RibesNigrum.15533" -5.44453055642436 -0.475770987324748 33.0682120878738 7.56933352423788e-05 0.0901999829788137
"RibesNigrum.54231" -3.24890961865038 0.715141115144785 33.0352124069156 7.6047548095258e-05 0.0901999829788137
"RibesNigrum.49353" -3.74482402567296 1.63281563571223 33.0348060335499 7.60519220045203e-05 0.0901999829788137
"RibesNigrum.31173" -5.66432205736758 1.51747097497251 38.4895571524114 7.62093978327342e-05 0.0901999829788137
"RibesNigrum.14419" -6.10119503107807 5.70072344665076 32.5545534498471 8.14312006577401e-05 0.0901999829788137
"RibesNigrum.49365" -3.6376046702071 1.69259755644821 32.1296901989233 8.65608374639382e-05 0.0901999829788137
"RibesNigrum.10506" -3.34873286911749 5.64248538412863 31.4341366870304 9.57905772799337e-05 0.0901999829788137
"RibesNigrum.30743" -5.86038140009127 -1.00237684931712 36.4274510208517 9.62643421536503e-05 0.0901999829788137
"RibesNigrum.10504" -8.39831202266864 4.76066340731367 36.585836614563 9.71472222281801e-05 0.0901999829788137
"RibesNigrum.49364" -3.78805673875361 1.57615706294887 30.8454994511595 0.0001045023183462 0.0901999829788137
"RibesNigrum.22559" -3.39248501139131 1.7605005151144 30.7078962191855 0.000106669302401918 0.0901999829788137
"RibesNigrum.13688" -4.64779745589172 0.984461980957817 30.5308856565019 0.000109533987862774 0.0901999829788137
"RibesNigrum.10501" -8.45731486671594 4.86624117313598 35.2118494685413 0.000114024113288879 0.0901999829788137
"RibesNigrum.49887" -6.67758514453989 -0.188255774604193 30.1737481085286 0.00011558995810511 0.0901999829788137
"RibesNigrum.50941" -4.4747069493054 2.20695132813342 30.1153381669214 0.000116616956455303 0.0901999829788137
"RibesNigrum.17381" -2.48444597975592 4.69347219374523 30.0328509859804 0.000118085379936256 0.0901999829788137
"RibesNigrum.26154" -3.16533009723214 1.45446237551702 29.5540226975745 0.000127045477505766 0.0901999829788137
"RibesNigrum.33600" 1.4854067756596 4.0298127721939 29.2760420768303 0.000130068227879334 0.0901999829788137
"RibesNigrum.10500" -4.65176617767054 5.90588145862228 29.3862983792737 0.000130368828404799 0.0901999829788137
"RibesNigrum.15821" -5.46090214852065 3.91760959216619 29.2988300661141 0.000132141918767508 0.0901999829788137
"RibesNigrum.52241" -4.81045053742706 1.76873377770691 29.2762591980925 0.000132603989010958 0.0901999829788137
"RibesNigrum.49859" -2.62585683875099 1.06804562670673 29.0027479529999 0.000137086154090758 0.0901999829788137
"RibesNigrum.56666" -3.59745426099167 6.51439599935605 28.957765709074 0.000139328247035334 0.0901999829788137
"RibesNigrum.21693" -3.80027647267849 4.40136619802848 28.6925869084602 0.000145230033746054 0.0901999829788137
"RibesNigrum.49354" -3.61669718570537 1.63065164575344 28.6658933868416 0.000145840031778145 0.0901999829788137
"RibesNigrum.46779" -5.88132428384314 1.9320794021931 28.641492374108 0.000146400243584122 0.0901999829788137
"RibesNigrum.57568" -5.93117255555835 2.78852433223663 28.6249499099375 0.000146781454698452 0.0901999829788137
"RibesNigrum.41107" -4.38433026415097 3.77328318793282 28.383962684381 0.00015246756744115 0.0901999829788137
"RibesNigrum.34461" -4.43912845577008 3.33906751262933 28.2082206687114 0.00015677562073485 0.0901999829788137
"RibesNigrum.37584" -9.20979045114422 2.14132180922467 32.4318350087623 0.000160164306882116 0.0901999829788137
"RibesNigrum.56804" -2.55108083032059 4.9968788298322 27.9975350340759 0.000162127723557898 0.0901999829788137
"RibesNigrum.41567" -6.53619627727075 4.09998239982331 27.7428935682923 0.000168881854026421 0.0901999829788137
"RibesNigrum.17345" -2.65014998486887 1.85963708311743 27.6821734573197 0.000170540260511076 0.0901999829788137
"RibesNigrum.36582" -6.55809154644835 -1.67602979236165 31.7052231131032 0.000171450027325156 0.0901999829788137
"RibesNigrum.53981" -2.41212666351981 7.3185965804673 27.5309185149464 0.00017475420832537 0.0901999829788137
"RibesNigrum.45244" -3.39470224547882 -0.0867366821572616 27.5146014819181 0.000175215978092136 0.0901999829788137
"RibesNigrum.36686" -4.09207198089585 2.05210057391065 27.3782856797026 0.000179129517992595 0.0901999829788137
"RibesNigrum.58377" -3.48422334923958 2.62889897472392 27.3258283300984 0.000180662494964125 0.0901999829788137
"RibesNigrum.11410" -3.23833066067849 2.88589574602977 27.1305563031263 0.000186504363700675 0.0901999829788137
"RibesNigrum.42196" 5.67655141535975 2.59639326057971 31.2390853204308 0.000186602637393608 0.0901999829788137
"RibesNigrum.43929" -2.28560073581561 1.78865213748606 26.8053958087021 0.000194315965898407 0.0901999829788137
"RibesNigrum.39583" -5.70628374268285 -1.16075933764197 30.1348988789278 0.000210827967702942 0.0901999829788137
"RibesNigrum.32501" -2.56763999212283 2.08590360809422 26.1619753284652 0.00021514898596058 0.0901999829788137
"RibesNigrum.29697" -6.12365869542527 6.89135313404579 26.2649575011255 0.000215188270432446 0.0901999829788137
"RibesNigrum.56275" -3.59032177962158 1.98477568006943 26.1296404659107 0.000220120951043902 0.0901999829788137
"RibesNigrum.35560" -5.49126278610058 3.15601174166365 26.1227172644974 0.000220376828785842 0.0901999829788137
"RibesNigrum.34591" -1.97234232826785 4.37455478200901 26.0692248557174 0.000222365558595845 0.0901999829788137
"RibesNigrum.46719" -3.42640480106379 -0.233181029505906 25.821555594401 0.000231849171467721 0.0901999829788137
"RibesNigrum.27062" -3.09867197079617 -0.655224449236889 25.7286051158836 0.00023253322898064 0.0901999829788137
"RibesNigrum.17479" -1.56497067281383 6.07928071476602 25.7712074602924 0.000233075155971742 0.0901999829788137
"RibesNigrum.39764" -3.21902843436527 5.48218193681571 25.7827613959305 0.000233376802430255 0.0901999829788137
"RibesNigrum.46941" -2.30837446262146 2.53163383811754 25.7276508861091 0.000235567064192124 0.0901999829788137
"RibesNigrum.2133" -4.20206021935862 7.3763002655599 25.6979418804863 0.000236757684474613 0.0901999829788137
"RibesNigrum.39002" -2.80137717593543 4.15203844384151 25.5920836700893 0.000241057215026492 0.0901999829788137
"RibesNigrum.26064" -4.03095090668374 -0.268781488732733 25.433971060115 0.000244326030944964 0.0901999829788137
"RibesNigrum.18049" -3.3685706104689 -0.205230051979688 25.4763113946519 0.000245863540724431 0.0901999829788137
"RibesNigrum.55760" -2.55863293197364 3.3198844245034 25.4688698483832 0.000246176264404015 0.0901999829788137
"RibesNigrum.17928" -2.27369005636062 3.71723040514216 25.4313723478919 0.000247759101330913 0.0901999829788137
"RibesNigrum.48423" -5.72162377472144 1.24486467421092 29.1130556869534 0.000247846716515223 0.0901999829788137
"RibesNigrum.15535" -6.64560624463221 3.12059239167771 25.4249222300387 0.000248032561477041 0.0901999829788137
"RibesNigrum.46875" -3.72059476834946 3.61397573516158 25.3978372486946 0.0002491846908523 0.0901999829788137
"RibesNigrum.56899" -10.8964384855578 5.72827228307466 28.8766925269836 0.000256039569669455 0.0901999829788137
"RibesNigrum.45164" -2.74410237684038 7.17722802324424 25.2280854172893 0.000256548620159365 0.0901999829788137
"RibesNigrum.10" -5.55477352915374 -1.17129265488366 28.6417368378985 0.000258633171185709 0.0901999829788137
"RibesNigrum.56664" -3.4356406808141 0.988839653850232 25.1560112311229 0.000259751417770776 0.0901999829788137
"RibesNigrum.26301" -6.96088009835663 4.06142447278098 25.0434138209458 0.000264848322368086 0.0901999829788137
"RibesNigrum.41496" -2.11447510311638 1.87801655284278 24.9093092980356 0.000267972862409511 0.0901999829788137
"RibesNigrum.19911" -2.48920200310666 1.81517798477371 24.9352841630412 0.000269852557166187 0.0901999829788137
"RibesNigrum.13471" -6.40022813603681 -2.14890559370539 28.2769968202251 0.000272204711155438 0.0901999829788137
"RibesNigrum.15820" -2.16228727954877 1.899869118175 24.782531267014 0.000277110193863345 0.0901999829788137
"RibesNigrum.57891" -3.97497863083619 0.965719810852796 24.7441456733926 0.00027896943973761 0.0901999829788137
"RibesNigrum.10701" -2.8065246844016 0.41704652454659 24.5017541968868 0.000286325985401698 0.0901999829788137
"RibesNigrum.11371" -4.21606609609275 5.93630897414323 24.5420095072248 0.000289002295479583 0.0901999829788137
"RibesNigrum.40888" -2.83198228447869 2.33391309914278 24.5238070539973 0.000289926139185029 0.0901999829788137
"RibesNigrum.13434" -3.91303756989485 1.24143724623886 24.5209041157889 0.000290073791058153 0.0901999829788137
"RibesNigrum.56878" -3.73228531814274 3.58956262692513 24.5117244966855 0.000290541267869748 0.0901999829788137
"RibesNigrum.59289" -4.28988803468135 3.01518164316385 24.5046164022998 0.000290903852011109 0.0901999829788137
"RibesNigrum.32239" -1.21827401591346 5.38219431784798 24.3809765218783 0.00029249297419197 0.0901999829788137
"RibesNigrum.33481" -4.42513911722229 0.318845970430707 24.3588244507346 0.000298457846556302 0.0901999829788137
"RibesNigrum.42796" -2.77155593356567 0.908380057277655 24.3349293223265 0.000299717538782532 0.0901999829788137
"RibesNigrum.15636" -3.62750296664012 1.05462877315907 24.2655210888353 0.000303411716292672 0.0901999829788137
"RibesNigrum.5315" -2.27496463296031 2.63731994161431 24.2649895063973 0.000303440212442015 0.0901999829788137
"RibesNigrum.55818" -5.06195008164041 7.50376479806564 24.2263854854883 0.000305517959290125 0.0901999829788137
"RibesNigrum.24162" -2.28856300194558 2.00333300631174 24.2017981075122 0.000306849910675037 0.0901999829788137
"RibesNigrum.48321" -4.64355437928749 4.62247037523535 24.1924737192537 0.000307356794884956 0.0901999829788137
"RibesNigrum.22100" -5.59530751043032 7.53539557422963 24.0505166830802 0.000315195061981444 0.0901999829788137
"RibesNigrum.29273" -5.59081681758726 7.53538810208753 24.0285591975169 0.00031642807187597 0.0901999829788137
"RibesNigrum.49746" -3.26353158784073 0.898526701816078 23.9532539655768 0.000320699528895672 0.0901999829788137
"RibesNigrum.41396" -5.76849687556729 2.00319082834393 23.9001655720652 0.000323751047028598 0.0901999829788137
"RibesNigrum.21999" -5.22268880214998 1.94374477379518 23.8925445614477 0.000324191863221555 0.0901999829788137
"RibesNigrum.56795" -4.83176879051819 -2.26250798493564 23.7716171807521 0.000326058184631277 0.0901999829788137
"RibesNigrum.52399" -6.8793506274243 -0.955232436669402 27.110607808728 0.000328623093688681 0.0901999829788137
"RibesNigrum.46653" -2.92328902166714 1.79724692111447 23.8148618805556 0.000328725178829148 0.0901999829788137
"RibesNigrum.27018" -4.72979234746307 1.5126301975228 23.8122268767843 0.000328880234947696 0.0901999829788137
"RibesNigrum.41770" -4.723214356296 1.49590162535857 23.7892728064121 0.000330234558565611 0.0901999829788137
"RibesNigrum.59761" -3.82316606013157 2.47807590985715 23.7712028488077 0.000331305268051774 0.0901999829788137
"RibesNigrum.47228" -3.25970609962933 6.37376704410919 23.5840261628166 0.000342636559764914 0.0904218547293156
"RibesNigrum.59935" -7.82313142460779 2.87782277796855 23.5758397169971 0.000343142329092716 0.0904218547293156
"RibesNigrum.47509" -6.58418332070279 0.208413503955931 26.7940786468307 0.00034409650757766 0.0904218547293156
"RibesNigrum.21353" -3.53030560552429 4.14705386827174 23.4814207180087 0.000349038747843427 0.0904218547293156
"RibesNigrum.4243" -5.59590108159636 0.0972753764356445 26.5436919889544 0.000350039891659883 0.0904218547293156
"RibesNigrum.26678" -7.99670132296392 3.14926194990629 23.4392772629834 0.000351708498864819 0.0904218547293156
"RibesNigrum.48325" -7.65616871909169 0.124959863637206 26.5932484453521 0.000354364167144471 0.0904218547293156
"RibesNigrum.23342" -3.20085834580663 7.33457198057906 23.3904823755219 0.000354829278620093 0.0904218547293156
"RibesNigrum.49969" -2.11922992198925 5.63031005643063 23.2429187178467 0.000364464475712123 0.0911394918014468
"RibesNigrum.57607" -3.50032985301213 6.24373830173864 23.21919150086 0.000366041936657012 0.0911394918014468
"RibesNigrum.35518" -3.50133202312044 6.24420085165798 23.2163873838359 0.000366228886500445 0.0911394918014468
"RibesNigrum.54801" -3.26753074161996 1.15771518261227 23.1551154310581 0.000370341680140532 0.0911908585280262
"RibesNigrum.48984" -2.98496186673125 3.72292592917357 22.9038391352912 0.000387778857964577 0.0911908585280262
"RibesNigrum.7306" -7.77458958582757 1.690145075466 22.8632797988908 0.000390681936306001 0.0911908585280262
"RibesNigrum.42785" -2.67325968177856 0.926523748626906 22.861799426168 0.000390788371942646 0.0911908585280262
"RibesNigrum.56287" -4.49804605096989 3.76748598449933 22.8230466294934 0.000393586627866971 0.0911908585280262
"RibesNigrum.50155" -3.28925935672822 2.48610854420462 22.8009765543357 0.000395190655302238 0.0911908585280262
"RibesNigrum.5809" -5.23469382947989 2.29393094868639 22.7265615829944 0.000400655263275225 0.0911908585280262
"RibesNigrum.46160" -2.58709511690951 0.50546941065957 22.6365377550883 0.000403869820812427 0.0911908585280262
"RibesNigrum.35947" -3.04859490283234 2.02721491143411 22.6740767687594 0.00040456222905375 0.0911908585280262
"RibesNigrum.7712" 6.54242642805096 -2.33644634599508 25.5484557239724 0.000406806588105755 0.0911908585280262
"RibesNigrum.54793" -3.32473676348544 0.581646521328219 22.6301240032215 0.000407868131994507 0.0911908585280262
"RibesNigrum.57316" -8.41409132009515 1.73797547158156 22.5972723923265 0.000410359553810398 0.0911908585280262
"RibesNigrum.57314" -8.41131667201865 1.73845100329291 22.5844202827617 0.000411339045848823 0.0911908585280262
"RibesNigrum.17450" -2.95970238351401 3.03522324037341 22.5163905831623 0.000416569198474444 0.0911908585280262
"RibesNigrum.55765" -2.36189936476346 0.330781898497851 22.4296231008969 0.000417047064086484 0.0911908585280262
"RibesNigrum.28868" -2.4179355110419 0.608045506011841 22.3965592435156 0.000421233062440635 0.0911908585280262
"RibesNigrum.5186" -5.38274931767819 3.36325204347084 22.4562755759483 0.000421255216979351 0.0911908585280262
"RibesNigrum.49978" 2.4474773687233 -0.340811535671685 22.3531097216877 0.000423066074163199 0.0911908585280262
"RibesNigrum.8968" -3.20507789632226 -0.144342244441747 22.3850726531128 0.000426884944324607 0.0911908585280262
"RibesNigrum.49363" -3.53321224974339 1.23714755852862 22.3606120680775 0.000428839069445755 0.0911908585280262
"RibesNigrum.57304" -8.40909216753936 1.71869264307065 22.3525658254553 0.000429484142407317 0.0911908585280262
"RibesNigrum.60090" -5.89063264788141 1.56968356955879 25.2235093270072 0.000435013485477185 0.0911908585280262
"RibesNigrum.34156" -5.42076229871808 -0.304358674793222 25.0760878133533 0.000436133945359454 0.0911908585280262
"RibesNigrum.32244" -2.16480197152096 3.84832507500166 22.2642225045152 0.00043664129466921 0.0911908585280262
"RibesNigrum.11365" -3.41230737571299 8.52665729669171 22.2414785657048 0.000438506254260745 0.0911908585280262
"RibesNigrum.55289" -4.89596820181045 -2.08783260548897 22.1529426940659 0.00044188654036137 0.0911908585280262
"RibesNigrum.3162" -2.87926749096522 1.50810505231821 22.1488663025649 0.000446196413754877 0.0911908585280262
"RibesNigrum.37412" -4.67662785914058 0.783674433219032 22.1441403857499 0.000446593015959442 0.0911908585280262
"RibesNigrum.46714" -4.27027884613036 1.94980092891169 21.9752726888374 0.000461036877725539 0.0932673696012651
"RibesNigrum.26029" -1.84486703405122 1.67163636434868 21.8377456525082 0.000466338510894615 0.0932673696012651
"RibesNigrum.27294" -5.55388959582105 -2.60051264898904 24.5663969585938 0.000472032665377861 0.0932673696012651
"RibesNigrum.39712" -3.84144313114497 7.6235873104916 21.8138780431289 0.000475350843081654 0.0932673696012651
"RibesNigrum.53861" -3.83992632886432 7.62368476276497 21.8114312653395 0.000475571783773406 0.0932673696012651
"RibesNigrum.56771" 5.61693760574799 -2.28204812945561 24.4996278069208 0.000476991360587317 0.0932673696012651
"RibesNigrum.14034" -3.31594824239767 0.238449882964426 21.7606300300687 0.000480186118371544 0.0932673696012651
"RibesNigrum.17551" -3.31594824239767 0.238449882964426 21.7606300300685 0.000480186118371554 0.0932673696012651
"RibesNigrum.32839" -5.4424631995948 -1.41829801175627 24.3020851562835 0.000492029104723271 0.094988455162758
"RibesNigrum.55715" -4.38340593554882 1.84343733126085 21.5849712388761 0.000496546980202163 0.0950060967807647
"RibesNigrum.47553" -4.05213774811008 3.38805965261644 21.5687985922334 0.000498085583047269 0.0950060967807647
"RibesNigrum.1083" -2.49408431329544 3.04860436379926 21.5153724961262 0.000503207832690586 0.0950204528007086
"RibesNigrum.57493" -2.60879912357163 0.245210114608828 21.4335089851431 0.000506133220162049 0.0950204528007086
"RibesNigrum.6903" -5.71805014813319 3.20192560450371 21.4555068538664 0.000509020313976227 0.0950204528007086
"RibesNigrum.4706" -2.82721107340326 4.53425480187947 21.3653231840916 0.000517924288688203 0.0950204528007086
"RibesNigrum.59934" -9.51183439528398 2.79430291917883 24.0812459276882 0.000519424031489414 0.0950204528007086
"RibesNigrum.35955" -2.79817994945933 2.91771932031607 21.314136415279 0.000523058464157556 0.0950204528007086
"RibesNigrum.38350" -3.84105423299664 -0.0943645410009102 21.3095429883507 0.000523522080855015 0.0950204528007086
"RibesNigrum.32261" -4.17966685927316 4.30468826583755 21.3034477084386 0.000524138017250689 0.0950204528007086
"RibesNigrum.14882" -3.35072208118343 5.59297425548946 21.2948541470669 0.000525007838667819 0.0950204528007086
"RibesNigrum.24395" -3.34708005956001 5.62657379223985 21.2277861135601 0.000531854216857057 0.0953787562411253
"RibesNigrum.25586" -3.50437405957811 0.933105769688561 21.2168922678862 0.000532976034749805 0.0953787562411253
"RibesNigrum.29365" -3.68993628744252 0.70553714561279 21.1808926315381 0.00053670277071575 0.0954294453821868
"RibesNigrum.47880" -1.67680242119682 2.17618293125929 21.0837679968635 0.000539250962792542 0.0954294453821868
"RibesNigrum.38761" -2.59119456487208 0.264547686633913 21.0694027561088 0.000546604952005892 0.0957160226343433
"RibesNigrum.12911" -3.06044475368323 2.65940542311001 21.0662045797488 0.000548778830622529 0.0957160226343433
"RibesNigrum.32798" -1.98117645655049 3.17912890001038 21.0558472779309 0.000549884854086923 0.0957160226343433
